patch,agent,win_rate,total_games,wins
10.0,clove,83.33,12,10
10.0,phoenix,66.67,6,4
10.0,iso,66.67,6,4
10.0,deadlock,64.29,28,18
10.0,neon,63.16,38,24
10.0,tejo,53.33,90,48
10.0,killjoy,52.5,80,42
10.0,sova,52.24,134,70
10.0,astra,52.11,142,74
10.0,yoru,51.35,74,38
10.0,raze,50.77,130,66
10.0,vyse,50.0,68,34
10.0,gekko,50.0,28,14
10.0,chamber,50.0,16,8
10.0,cypher,49.09,110,54
10.0,fade,48.72,78,38
10.0,brimstone,48.48,66,32
10.0,breach,48.48,132,64
10.0,viper,48.28,58,28
10.0,omen,46.67,150,70
10.0,skye,46.15,26,12
10.0,jett,45.28,106,48
10.0,kayo,44.74,76,34
10.0,sage,25.0,16,4
10.0,harbor,20.0,10,2
10.01,neon,66.67,30,20
10.01,killjoy,58.33,48,28
10.01,vyse,56.86,102,58
10.01,kayo,55.56,72,40
10.01,iso,55.56,18,10
10.01,jett,54.9,102,56
10.01,viper,53.7,108,58
10.01,tejo,52.83,106,56
10.01,sova,52.11,142,74
10.01,skye,52.0,50,26
10.01,astra,51.9,158,82
10.01,gekko,50.0,24,12
10.01,reyna,50.0,4,2
10.01,raze,49.48,194,96
10.01,brimstone,48.89,90,44
10.01,omen,48.72,156,76
10.01,breach,47.46,118,56
10.01,cypher,47.37,114,54
10.01,yoru,41.86,86,36
10.01,chamber,40.0,30,12
10.01,fade,40.0,110,44
10.01,clove,33.33,6,2
10.01,deadlock,30.0,20,6
10.01,phoenix,25.0,8,2
10.01,harbor,0.0,2,0
10.01,sage,0.0,2,0
10.02,gekko,100.0,2,2
10.02,killjoy,80.0,5,4
10.02,iso,63.64,11,7
10.02,yoru,63.49,63,40
10.02,neon,60.0,10,6
10.02,viper,59.57,47,28
10.02,sova,57.58,33,19
10.02,chamber,57.14,7,4
10.02,skye,54.55,11,6
10.02,omen,51.39,72,37
10.02,brimstone,50.0,34,17
10.02,breach,49.18,61,30
10.02,raze,48.08,52,25
10.02,cypher,45.95,37,17
10.02,fade,45.45,33,15
10.02,tejo,45.33,75,34
10.02,vyse,42.86,42,18
10.02,kayo,41.67,12,5
10.02,astra,41.38,29,12
10.02,jett,19.05,21,4
10.02,reyna,0.0,2,0
10.02,clove,0.0,1,0
10.05,phoenix,100.0,2,2
10.05,reyna,100.0,4,4
10.05,harbor,75.0,8,6
10.05,neon,60.0,70,42
10.05,sova,58.49,106,62
10.05,jett,54.17,48,26
10.05,vyse,54.0,100,54
10.05,brimstone,52.63,38,20
10.05,killjoy,52.17,46,24
10.05,omen,51.85,216,112
10.05,yoru,51.35,148,76
10.05,clove,50.0,8,4
10.05,chamber,50.0,16,8
10.05,iso,50.0,36,18
10.05,deadlock,50.0,16,8
10.05,breach,49.37,158,78
10.05,cypher,49.3,142,70
10.05,tejo,48.11,212,102
10.05,viper,47.46,118,56
10.05,waylay,47.37,38,18
10.05,fade,45.95,74,34
10.05,kayo,41.67,48,20
10.05,astra,41.03,78,32
10.05,raze,36.36,66,24
10.05,sage,0.0,2,0
10.05,gekko,0.0,2,0
10.06,gekko,100.0,4,4
10.06,sage,100.0,2,2
10.06,harbor,66.67,12,8
10.06,waylay,63.64,22,14
10.06,killjoy,60.0,60,36
10.06,neon,58.82,68,40
10.06,kayo,58.33,48,28
10.06,astra,56.1,82,46
10.06,fade,52.94,68,36
10.06,viper,51.92,104,54
10.06,tejo,50.52,194,98
10.06,clove,50.0,4,2
10.06,jett,50.0,96,48
10.06,yoru,50.0,136,68
10.06,iso,50.0,32,16
10.06,brimstone,50.0,20,10
10.06,phoenix,50.0,8,4
10.06,raze,48.0,50,24
10.06,omen,47.57,206,98
10.06,cypher,47.46,118,56
10.06,vyse,47.06,102,48
10.06,sova,45.9,122,56
10.06,breach,44.07,118,52
10.06,chamber,33.33,18,6
10.06,deadlock,33.33,18,6
10.06,reyna,0.0,6,0
10.06,skye,0.0,2,0
10.07,clove,75.0,8,6
10.07,phoenix,71.43,14,10
10.07,skye,66.67,12,8
10.07,raze,60.0,110,66
10.07,sage,60.0,10,6
10.07,chamber,60.0,10,6
10.07,fade,57.81,128,74
10.07,vyse,53.66,164,88
10.07,neon,52.0,150,78
10.07,astra,51.67,120,62
10.07,harbor,51.61,62,32
10.07,omen,50.89,448,228
10.07,tejo,50.0,424,212
10.07,gekko,50.0,32,16
10.07,brimstone,50.0,64,32
10.07,reyna,50.0,4,2
10.07,deadlock,50.0,40,20
10.07,killjoy,49.52,210,104
10.07,kayo,49.33,150,74
10.07,yoru,49.24,264,130
10.07,viper,48.45,322,156
10.07,cypher,47.9,238,114
10.07,sova,47.73,264,126
10.07,breach,46.97,264,124
10.07,jett,46.62,266,124
10.07,iso,38.1,42,16
10.07,waylay,30.0,20,6
10.08,sage,83.33,12,10
10.08,astra,58.33,24,14
10.08,tejo,55.26,76,42
10.08,raze,53.85,52,28
10.08,vyse,53.85,26,14
10.08,yoru,51.52,66,34
10.08,omen,50.75,134,68
10.08,neon,50.0,56,28
10.08,killjoy,50.0,56,28
10.08,viper,50.0,84,42
10.08,jett,50.0,52,26
10.08,chamber,50.0,4,2
10.08,brimstone,50.0,24,12
10.08,breach,47.83,46,22
10.08,cypher,47.5,80,38
10.08,deadlock,47.37,38,18
10.08,sova,47.22,72,34
10.08,gekko,46.15,26,12
10.08,fade,44.44,54,24
10.08,kayo,42.86,28,12
10.08,iso,33.33,6,2
10.08,clove,0.0,2,0
10.08,waylay,0.0,2,0
10.10,chamber,100.0,8,8
10.10,sage,100.0,14,14
10.10,phoenix,100.0,1,1
10.10,astra,70.59,17,12
10.10,vyse,70.0,30,21
10.10,raze,65.0,60,39
10.10,yoru,60.0,60,36
10.10,harbor,57.14,7,4
10.10,fade,56.94,72,41
10.10,killjoy,53.57,56,30
10.10,viper,51.69,118,61
10.10,jett,50.0,34,17
10.10,sova,50.0,96,48
10.10,omen,46.26,147,68
10.10,deadlock,45.45,11,5
10.10,neon,42.55,47,20
10.10,skye,33.33,3,1
10.10,kayo,28.57,14,4
10.10,cypher,25.0,48,12
10.10,tejo,22.22,9,2
10.10,breach,20.0,25,5
10.10,gekko,7.69,13,1
10.10,waylay,0.0,4,0
10.10,iso,0.0,5,0
10.10,clove,0.0,1,0
10.11,sage,100.0,3,3
10.11,chamber,100.0,3,3
10.11,viper,73.33,15,11
10.11,fade,60.0,5,3
10.11,jett,57.14,7,4
10.11,killjoy,55.56,9,5
10.11,neon,50.0,12,6
10.11,sova,47.62,21,10
10.11,omen,47.62,21,10
10.11,cypher,45.45,11,5
10.11,yoru,42.86,7,3
10.11,kayo,33.33,3,1
10.11,breach,25.0,4,1
10.11,harbor,0.0,2,0
10.11,raze,0.0,2,0
10.11,vyse,0.0,3,0
10.11,iso,0.0,2,0
11.0,sage,58.41,113,66
11.0,chamber,58.18,110,64
11.0,tejo,58.14,43,25
11.0,phoenix,57.89,19,11
11.0,waylay,56.76,74,42
11.0,vyse,56.59,311,176
11.0,harbor,54.76,42,23
11.0,iso,53.95,76,41
11.0,yoru,53.47,518,277
11.0,raze,52.38,420,220
11.0,fade,51.34,598,307
11.0,astra,51.14,88,45
11.0,skye,50.0,60,30
11.0,sova,49.76,840,418
11.0,omen,49.54,1191,590
11.0,jett,49.35,310,153
11.0,brimstone,49.21,126,62
11.0,cypher,49.16,474,233
11.0,viper,48.76,808,394
11.0,killjoy,48.41,314,152
11.0,neon,46.46,452,210
11.0,kayo,46.05,215,99
11.0,gekko,42.86,98,42
11.0,breach,42.38,151,64
11.0,deadlock,40.61,165,67
11.0,clove,33.33,12,4
11.0,reyna,0.0,2,0
11.05,harbor,75.0,4,3
11.05,killjoy,64.0,25,16
11.05,viper,59.32,118,70
11.05,brimstone,59.26,27,16
11.05,sage,58.82,17,10
11.05,waylay,57.58,66,38
11.05,raze,55.93,59,33
11.05,sova,55.22,134,74
11.05,yoru,51.52,132,68
11.05,breach,50.0,20,10
11.05,omen,49.76,207,103
11.05,kayo,48.65,37,18
11.05,fade,46.96,115,54
11.05,cypher,46.25,80,37
11.05,deadlock,43.75,16,7
11.05,vyse,43.48,69,30
11.05,astra,40.74,27,11
11.05,tejo,40.0,25,10
11.05,neon,37.29,59,22
11.05,jett,33.33,30,10
11.05,chamber,33.33,12,4
11.05,gekko,14.29,7,1
11.05,skye,0.0,4,0
2.05,phoenix,58.06,31,18
2.05,brimstone,57.14,14,8
2.05,sage,53.45,116,62
2.05,jett,51.9,158,82
2.05,viper,51.61,31,16
2.05,killjoy,51.55,97,50
2.05,raze,51.19,84,43
2.05,sova,50.57,174,88
2.05,skye,50.0,30,15
2.05,omen,49.25,134,66
2.05,astra,48.72,39,19
2.05,cypher,47.3,74,35
2.05,reyna,40.0,40,16
2.05,breach,31.58,38,12
2.07,brimstone,66.67,12,8
2.07,phoenix,60.0,30,18
2.07,viper,59.46,37,22
2.07,killjoy,55.36,56,31
2.07,astra,54.84,31,17
2.07,skye,54.55,33,18
2.07,sova,48.72,78,38
2.07,raze,48.39,31,15
2.07,jett,47.69,65,31
2.07,omen,43.18,44,19
2.07,breach,42.86,7,3
2.07,sage,40.62,32,13
2.07,reyna,38.89,18,7
2.07,cypher,31.25,16,5
2.09,brimstone,68.75,16,11
2.09,reyna,64.29,14,9
2.09,cypher,55.0,20,11
2.09,viper,54.72,53,29
2.09,skye,52.5,40,21
2.09,sage,51.72,58,30
2.09,sova,51.32,76,39
2.09,phoenix,50.0,16,8
2.09,astra,48.21,56,27
2.09,raze,47.92,48,23
2.09,jett,46.91,81,38
2.09,killjoy,44.83,58,26
2.09,breach,42.86,14,6
2.09,omen,42.31,26,11
2.09,yoru,25.0,4,1
2.11,breach,100.0,1,1
2.11,brimstone,100.0,1,1
2.11,sage,58.82,17,10
2.11,omen,57.14,7,4
2.11,viper,50.0,12,6
2.11,raze,50.0,14,7
2.11,astra,50.0,16,8
2.11,skye,50.0,8,4
2.11,reyna,50.0,4,2
2.11,sova,48.0,25,12
2.11,killjoy,46.67,15,7
2.11,jett,46.43,28,13
2.11,cypher,44.44,9,4
2.11,phoenix,33.33,3,1
3.0,skye,56.2,137,77
3.0,astra,54.95,111,61
3.0,brimstone,51.43,35,18
3.0,killjoy,51.26,119,61
3.0,cypher,51.22,123,63
3.0,viper,50.0,166,83
3.0,raze,50.0,86,43
3.0,sage,50.0,160,80
3.0,jett,49.6,250,124
3.0,sova,48.84,258,126
3.0,breach,47.92,48,23
3.0,phoenix,47.37,38,18
3.0,reyna,46.38,69,32
3.0,omen,44.64,112,50
3.0,kayo,20.0,5,1
3.0,yoru,0.0,3,0
3.01,phoenix,100.0,1,1
3.01,brimstone,59.09,22,13
3.01,raze,57.78,45,26
3.01,sage,53.95,76,41
3.01,cypher,53.66,41,22
3.01,astra,51.22,41,21
3.01,viper,51.16,86,44
3.01,sova,50.47,107,54
3.01,jett,50.44,113,57
3.01,reyna,50.0,30,15
3.01,breach,50.0,26,13
3.01,skye,48.72,78,38
3.01,killjoy,43.4,53,23
3.01,omen,40.82,49,20
3.01,kayo,31.82,22,7
3.02,breach,69.7,33,23
3.02,brimstone,54.55,22,12
3.02,skye,52.22,90,47
3.02,cypher,52.17,46,24
3.02,raze,51.85,54,28
3.02,killjoy,51.35,111,57
3.02,sova,51.05,143,73
3.02,yoru,50.0,2,1
3.02,jett,49.69,161,80
3.02,astra,49.44,89,44
3.02,omen,48.89,45,22
3.02,sage,48.53,68,33
3.02,reyna,48.0,25,12
3.02,viper,45.83,72,33
3.02,phoenix,25.0,12,3
3.02,kayo,17.65,17,3
3.03,phoenix,66.67,3,2
3.03,breach,63.64,11,7
3.03,cypher,53.85,26,14
