patch,map,agent,win_rate,total_games,wins
10.0,Abyss,viper,100.0,4,4
10.0,Abyss,deadlock,100.0,2,2
10.0,Abyss,neon,100.0,2,2
10.0,Abyss,sage,100.0,2,2
10.0,Abyss,breach,75.0,8,6
10.0,Abyss,sova,54.17,48,26
10.0,Abyss,cypher,50.0,16,8
10.0,Abyss,omen,50.0,28,14
10.0,Abyss,jett,50.0,40,20
10.0,Abyss,chamber,50.0,4,2
10.0,Abyss,tejo,50.0,4,2
10.0,Abyss,kayo,46.67,30,14
10.0,Abyss,astra,45.45,44,20
10.0,Abyss,yoru,42.86,14,6
10.0,Abyss,vyse,33.33,6,2
10.0,Abyss,fade,0.0,4,0
10.0,Abyss,harbor,0.0,4,0
10.0,Bind,yoru,100.0,6,6
10.0,Bind,vyse,71.43,14,10
10.0,Bind,deadlock,60.0,10,6
10.0,Bind,astra,60.0,10,6
10.0,Bind,gekko,58.33,24,14
10.0,Bind,kayo,50.0,12,6
10.0,Bind,brimstone,46.15,26,12
10.0,Bind,viper,44.44,18,8
10.0,Bind,fade,42.86,14,6
10.0,Bind,raze,40.0,30,12
10.0,Bind,tejo,33.33,6,2
10.0,Bind,skye,33.33,6,2
10.0,Bind,cypher,0.0,2,0
10.0,Bind,clove,0.0,2,0
10.0,Fracture,clove,100.0,2,2
10.0,Fracture,skye,100.0,2,2
10.0,Fracture,kayo,100.0,2,2
10.0,Fracture,vyse,100.0,2,2
10.0,Fracture,killjoy,66.67,24,16
10.0,Fracture,tejo,66.67,18,12
10.0,Fracture,fade,66.67,6,4
10.0,Fracture,raze,58.82,34,20
10.0,Fracture,brimstone,50.0,40,20
10.0,Fracture,astra,50.0,8,4
10.0,Fracture,chamber,50.0,4,2
10.0,Fracture,breach,42.86,42,18
10.0,Fracture,sova,40.0,10,4
10.0,Fracture,neon,40.0,10,4
10.0,Fracture,yoru,33.33,6,2
10.0,Fracture,cypher,30.0,20,6
10.0,Fracture,sage,0.0,6,0
10.0,Fracture,gekko,0.0,4,0
10.0,Haven,clove,100.0,2,2
10.0,Haven,viper,100.0,2,2
10.0,Haven,iso,100.0,4,4
10.0,Haven,neon,66.67,12,8
10.0,Haven,cypher,56.25,32,18
10.0,Haven,sova,52.63,38,20
10.0,Haven,tejo,50.0,8,4
10.0,Haven,omen,47.83,46,22
10.0,Haven,jett,46.15,26,12
10.0,Haven,breach,45.0,40,18
10.0,Haven,killjoy,42.86,14,6
10.0,Haven,yoru,40.0,10,4
10.0,Haven,vyse,0.0,2,0
10.0,Haven,fade,0.0,2,0
10.0,Haven,harbor,0.0,2,0
10.0,Lotus,clove,100.0,6,6
10.0,Lotus,neon,66.67,6,4
10.0,Lotus,deadlock,60.0,10,6
10.0,Lotus,yoru,60.0,10,6
10.0,Lotus,breach,58.33,24,14
10.0,Lotus,fade,57.14,28,16
10.0,Lotus,omen,52.0,50,26
10.0,Lotus,raze,50.0,32,16
10.0,Lotus,killjoy,50.0,4,2
10.0,Lotus,cypher,50.0,8,4
10.0,Lotus,harbor,50.0,4,2
10.0,Lotus,tejo,46.15,26,12
10.0,Lotus,viper,44.44,18,8
10.0,Lotus,vyse,30.77,26,8
10.0,Lotus,chamber,0.0,2,0
10.0,Lotus,astra,0.0,4,0
10.0,Lotus,sage,0.0,2,0
10.0,Pearl,breach,100.0,2,2
10.0,Pearl,skye,100.0,2,2
10.0,Pearl,chamber,100.0,2,2
10.0,Pearl,vyse,66.67,18,12
10.0,Pearl,yoru,66.67,18,12
10.0,Pearl,phoenix,66.67,6,4
10.0,Pearl,neon,66.67,6,4
10.0,Pearl,tejo,62.5,16,10
